gene_symbol,Length,EffectiveLength,TPM,NumReads,type
MGMT,959,710,0.165683,10.589,WT
MGMT,776,527,0,0,WT
ALG5,1219,970,2.975303,259.791,WT
ALG5,1119,870,0,0,WT
ALG5,565,316,0.115703,3.291,WT
ALG5,687,438,0.218125,8.6,WT
ALG5,756,507,0.423281,19.318,WT
RB1,4793,4544,3.278009,1340.817,WT
RB1,1490,1241,0.568003,63.452,WT
RB1,480,231,0,0,WT
RB1,617,368,0.303353,10.049,WT
RB1,658,409,1.170672,43.1,WT
RB1,1097,848,1.987706,151.729,WT
TP53,1018,769,0.03004,2.079,WT
TP53,1152,903,0,0,WT
TP53,2331,2082,0,0,WT
TP53,2404,2155,0,0,WT
TP53,2271,2022,0.008286,1.508,WT
TP53,2579,2330,1.099168,230.537,WT
TP53,2580,2331,0,0,WT
TP53,2653,2404,0,0,WT
TP53,2506,2257,0.025376,5.156,WT
TP53,175,7.624,10.662786,7.317,WT
TP53,729,480,0,0,WT
TP53,546,297,0,0,WT
TP53,104,4.593,0,0,WT
TP53,1261,1012,0,0,WT
TP53,634,385,0,0,WT
TP53,568,319,0,0,WT
TP53,565,316,0,0,WT
ATRX,11167,10918,0.648151,637.002,WT
ATRX,10218,9969,2.626079,2356.571,WT
ATRX,10455,10206,0.045398,41.708,WT
ATRX,408,159,1.715191,24.549,WT
ATRX,814,565,0.416941,21.205,WT
ATRX,461,212,1.077559,20.564,WT
ATRX,2967,2718,1.162181,284.344,WT
CDC42,2274,2025,4.411767,731.373,WT
CDC42,2256,2007,30.167632,4956.667,WT
CDC42,816,567,2.665042,123.705,WT
CDC42,1435,1186,0.528489,51.312,WT
CDC42,597,348,23.88774,680.543,WT
BRINP3,3128,2879,4.428265,1043.702,WT
BRINP3,238,16.802,7.187678,9.887,WT
BRINP3,528,279,3.744819,85.533,WT
OSR1,1906,1657,0.289311,39.245,WT
OSR1,4171,3922,0.080213,25.755,WT
OSR1,581,332,0,0,WT
IDH1,2382,2133,37.219132,6499.175,WT
IDH1,2298,2049,0.181069,30.373,WT
IDH1,2441,2192,0.191716,34.403,WT
IDH1,1044,795,4.052914,263.776,WT
IDH1,942,693,1.234573,70.041,WT
IDH1,1614,1365,4.265356,476.639,WT
IDH1,702,453,0,0,WT
IDH1,563,314,0.218112,5.607,WT
IDH1,556,307,7.837857,196.987,WT
GLB1,2512,2263,0.379866,70.375,WT
GLB1,2523,2274,1.559256,290.275,WT
GLB1,2018,1769,0,0,WT
GLB1,816,567,0.930548,43.194,WT
GLB1,899,650,0.220966,11.758,WT
GLB1,517,268,1.009708,22.153,WT
GLB1,577,328,0.217205,5.832,WT
GLB1,547,298,1.188485,28.994,WT
GLB1,550,301,0,0,WT
GLB1,319,70.21,0.251904,1.448,WT
GLB1,257,23.433,4.170314,8,WT
GLB1,570,321,0.057877,1.521,WT
GLB1,591,342,0.616679,17.266,WT
GLB1,631,382,1.011931,31.646,WT
GLB1,569,320,0,0,WT
GLB1,626,377,0,0,WT
GLB1,557,308,1.56257,39.4,WT
GLB1,540,291,0,0,WT
GLB1,558,309,0.270818,6.851,WT
PIK3CA,245,18.9,4.525291,7.002,WT
PIK3CA,9259,9010,2.296584,1693.98,WT
PIK3CA,620,371,1.143948,34.744,WT
PIK3CA,746,497,1.933389,78.664,WT
PDGFRA,2202,1953,0.112543,17.994,WT
PDGFRA,2417,2168,0.08873,15.748,WT
PDGFRA,580,331,0.110116,2.984,WT
PDGFRA,6378,6129,1.545631,775.527,WT
PDGFRA,2991,2742,0.025812,5.794,WT
PDGFRA,586,337,0,0,WT
PDGFRA,771,522,0.051802,2.214,WT
PDGFRA,573,324,0,0,WT
PDGFRA,480,231,0,0,WT
PDGFRA,1146,897,0.07971,5.853,WT
DCHS2,13354,13105,0.063489,68.114,WT
DCHS2,5064,4815,0.017856,7.039,WT
DCHS2,857,608,0,0,WT
DCHS2,569,320,0,0,WT
DCHS2,2109,1860,0,0,WT
TERT,2422,2173,0.018319,3.259,WT
TERT,4018,3769,0,0,WT
TERT,2992,2743,0.029071,6.528,WT
TERT,3210,2961,0,0,WT
TERT,406,157,0,0,WT
IRX1,2080,1831,2.835303,425,WT
FOXD1,406,157,0.389018,5,WT
PCDHGA11,4787,4538,0,0,WT
PCDHGA11,2263,2014,0.223241,36.807,WT
TOB2P1,992,743,0.164403,10,WT
MICA,1370,1121,0.273443,25.094,WT
MICA,1005,756,0.235451,14.572,WT
BRD2,4956,4707,0.394722,152.103,WT
BRD2,735,486,0.245346,9.762,WT
BRD2,887,638,2.464828,128.738,WT
BRD2,718,469,0,0,WT
BRD2,547,298,0,0,WT
BRD2,4807,4558,0,0,WT
BRD2,550,301,0,0,WT
BRD2,3404,3155,0.093191,24.07,WT
BRD2,4834,4585,1.033711,388.007,WT
BRD2,2338,2089,3.514572,601.052,WT
BRD2,3467,3218,0.016819,4.431,WT
BRD2,3210,2961,0.640913,155.36,WT
BRD2,3210,2961,0.640913,155.36,WT
BRD2,1590,1341,1.657571,181.971,WT
BRD2,565,316,0,0,WT
BRD2,667,418,1.097003,37.539,WT
BRD2,946,697,2.755407,157.224,WT
BRD2,1628,1379,1.094542,123.566,WT
BRD2,759,510,6.342721,264.818,WT
EGFR,9905,9656,192.145353,151889.684,WT
EGFR,3844,3595,1.1210310000000001,329.927,WT
EGFR,2239,1990,0.743738,121.164,WT
EGFR,5464,5215,0,0,WT
EGFR,2864,2615,5.829379,1247.944,WT
EGFR,1570,1321,4.346942,470.097,WT
EGFR,452,203,23.23786,386.183,WT
EGFR,561,312,24.772962,632.752,WT
EGFR,691,442,24.278954,878.523,WT
EGFR,665,416,17.257565,587.725,WT
TRIM4,639,390,1.36959,43.728,WT
TRIM4,3383,3134,0,0,WT
TRIM4,3374,3125,2.054637,525.637,WT
TRIM4,1942,1693,0.926971,128.477,WT
TRIM4,601,352,0.838343,24.158,WT
EZH2,3641,3392,3.732758,1036.542,WT
EZH2,2522,2273,0,0,WT
EZH2,2591,2342,0,0,WT
EZH2,2477,2228,1.48795,271.397,WT
EZH2,2639,2390,1.34481,263.124,WT
EZH2,2572,2323,1.488598,283.092,WT
EZH2,2466,2217,2.060001,373.882,WT
EZH2,414,165,5.176046,69.917,WT
EZH2,1876,1627,2.386754,317.904,WT
EZH2,1491,1242,0.955406,97.143,WT
ZFPM2,4961,4712,0.149867,57.811,WT
ZFPM2,3960,3711,0.035566,10.805,WT
ZFPM2,594,345,0.057548,1.625,WT
ZFPM2,574,325,0,0,WT
ZFPM2,1582,1333,0.011703,1.277,WT
ZFPM2,468,219,0.863512,15.482,WT
ZFPM2,3300,3051,0,0,WT
ZFPM2,3312,3063,0,0,WT
CDKN2A,1218,969,2.227613,176.711,WT
CDKN2A,1283,1034,0.443411,37.534,WT
CDKN2A,666,417,0,0,WT
CDKN2A,678,429,6.295743,221.108,WT
CDKN2A,748,499,3.334683,136.225,WT
CDKN2A,880,631,0.121186,6.26,WT
CDKN2A,926,677,0.763547,42.318,WT
CDKN2A,794,545,0.739702,33.003,WT
CDKN2A,989,740,0,0,WT
CDKN2A,544,295,0.123806,2.99,WT
CDKN2A,442,193,0.603744,9.539,WT
CDKN2A,493,244,0,0,WT
CDKN2A,565,316,0.669147,17.311,WT
CDKN2A,856,607,2.233743,111,WT
ADARB2,8475,8226,0.00594,4,WT
ADARB2,1810,1561,0,0,WT
ADARB2,768,519,0,0,WT
ADARB2,599,350,0,0,WT
ADARB2,703,454,0,0,WT
ADARB2,683,434,0,0,WT
ADARB2,1741,1492,0,0,WT
PTEN,8515,8266,2.934297,1985.641,WT
PTEN,477,228,1.23223,23,WT
PTEN,383,134,4.243738,46.554,WT
PTEN,554,305,4.434673,110.729,WT
PTEN,644,395,6.830887,220.89,WT
MGMT,1265,1016,0.664901,55.303,WT
MGMT,589,340,0.095067,2.646,WT
MGMT,959,710,0.282138,16.399,WT
MGMT,776,527,0.026008,1.122,WT
ALG5,1219,970,8.009109,636,WT
ALG5,1119,870,0,0,WT
ALG5,565,316,1.242339,32.139,WT
ALG5,687,438,1.537115,55.117,WT
ALG5,756,507,1.005759,41.745,WT
RB1,4793,4544,15.080131,5609.764,WT
RB1,1490,1241,1.241223,126.102,WT
RB1,480,231,0,0,WT
RB1,617,368,0.471037,14.191,WT
RB1,658,409,5.7746,193.351,WT
RB1,1097,848,3.076219,213.557,WT
TP53,1018,769,0.126128,7.94,WT
TP53,1152,903,0.0459,3.393,WT
TP53,2331,2082,0,0,WT
TP53,2404,2155,0,0,WT
TP53,2271,2022,0.31689,52.455,WT
TP53,2579,2330,2.361937,450.532,WT
TP53,2580,2331,0,0,WT
TP53,2653,2404,0.074948,14.75,WT
TP53,2506,2257,0.067486,12.469,WT
TP53,175,7.624,9.914339,6.188,WT
TP53,729,480,0,0,WT
TP53,546,297,0,0,WT
TP53,104,4.593,0,0,WT
TP53,1261,1012,0.382683,31.704,WT
TP53,634,385,0,0,WT
TP53,568,319,1.184541,30.934,WT
TP53,565,316,0,0,WT
ATRX,11167,10918,1.469079,1313.075,WT
ATRX,10218,9969,4.809534,3925.145,WT
ATRX,10455,10206,0,0,WT
ATRX,408,159,4.645465,60.468,WT
ATRX,814,565,1.78203,82.426,WT
ATRX,461,212,2.572498,44.647,WT
ATRX,2967,2718,2.826499,628.926,WT
CDC42,2274,2025,0,0,WT
CDC42,2256,2007,4.611791,1929.09,WT
CDC42,816,567,0.469944,55.535,WT
CDC42,1435,1186,0.139972,34.599,WT
CDC42,597,348,3.336465,241.992,WT
BRINP3,3128,2879,2.786512,1672.007,WT
BRINP3,238,16.802,0.747138,2.616,WT
BRINP3,528,279,0.767534,44.631,WT
OSR1,1906,1657,0.060419,20.866,WT
OSR1,4171,3922,0.011175,9.134,WT
OSR1,581,332,0,0,WT
IDH1,2382,2133,3.059204,1359.987,WT
IDH1,2298,2049,0.663445,283.323,WT
IDH1,2441,2192,0,0,WT
IDH1,1044,795,0.418219,69.296,WT
IDH1,942,693,0.091337,13.192,WT
IDH1,1614,1365,0.23504,66.867,WT
IDH1,702,453,0,0,WT
IDH1,563,314,0.485059,31.744,WT
IDH1,556,307,0.337451,21.592,WT
GLB1,2512,2263,0.045779,21.591,WT
GLB1,2523,2274,0,0,WT
GLB1,2018,1769,0.595077,219.4,WT
GLB1,816,567,0.16278,19.236,WT
GLB1,899,650,0.047757,6.47,WT
GLB1,517,268,0.509301,28.448,WT
GLB1,577,328,0.079097,5.407,WT
GLB1,547,298,0,0,WT
GLB1,550,301,0.352979,22.144,WT
GLB1,319,70.21,0,0,WT
GLB1,257,23.433,0.409519,2,WT
GLB1,570,321,0,0,WT
GLB1,591,342,0,0,WT
GLB1,631,382,0.163757,13.038,WT
GLB1,569,320,0.888014,59.225,WT
GLB1,626,377,0.231008,18.151,WT
GLB1,557,308,0.752367,48.297,WT
GLB1,540,291,0,0,WT
GLB1,558,309,0.127651,8.221,WT
PIK3CA,245,18.9,0,0,WT
PIK3CA,9259,9010,0.852626,1601.1,WT
PIK3CA,620,371,1.28824,99.611,WT
PIK3CA,746,497,1.723985,178.577,WT
PDGFRA,2202,1953,0.249091,101.39,WT
PDGFRA,2417,2168,0.51961,234.786,WT
PDGFRA,580,331,0.309,21.317,WT
PDGFRA,6378,6129,4.780126,6106.107,WT
PDGFRA,2991,2742,0.108236,61.855,WT
PDGFRA,586,337,0.878938,61.734,WT
PDGFRA,771,522,0.711487,77.406,WT
PDGFRA,573,324,0,0,WT
PDGFRA,480,231,0.345289,16.624,WT
PDGFRA,1146,897,0.248142,46.39,WT
DCHS2,13354,13105,0.04247,116,WT
DCHS2,5064,4815,0,0,WT
DCHS2,857,608,0,0,WT
DCHS2,569,320,0,0,WT
DCHS2,2109,1860,0,0,WT
TERT,2422,2173,0.002208,1,WT
TERT,4018,3769,0,0,WT
TERT,2992,2743,0,0,WT
TERT,3210,2961,0,0,WT
TERT,406,157,0,0,WT
IRX1,2080,1831,0.495265,189,WT
FOXD1,406,157,1.039068,34,WT
PCDHGA11,4787,4538,0.235931,223.143,WT
PCDHGA11,2263,2014,0,0,WT
TOB2P1,992,743,0.071034,11,WT
MICA,1370,1121,0.138247,32.299,WT
MICA,1005,756,0.055708,8.778,WT
BRD2,4956,4707,0.886107,869.292,WT
BRD2,735,486,0.116468,11.797,WT
BRD2,887,638,0,0,WT
BRD2,718,469,0.689968,67.443,WT
BRD2,547,298,0.28998,18.01,WT
BRD2,4807,4558,0,0,WT
BRD2,550,301,0,0,WT
BRD2,3404,3155,0.246706,162.224,WT
BRD2,4834,4585,0.97856,935.109,WT
BRD2,2338,2089,4.159348,1810.92,WT
BRD2,3467,3218,0,0,WT
BRD2,3210,2961,0.58033,358.137,WT
BRD2,3210,2961,0.58033,358.137,WT
BRD2,1590,1341,0.646446,180.674,WT
BRD2,565,316,0,0,WT
BRD2,667,418,0,0,WT
BRD2,946,697,1.479849,214.974,WT
BRD2,1628,1379,0.400133,115.002,WT
BRD2,759,510,4.678394,497.282,WT
EGFR,9905,9656,0.042236,85,WT
EGFR,3844,3595,0,0,WT
EGFR,2239,1990,0,0,WT
EGFR,5464,5215,0,0,WT
EGFR,2864,2615,0,0,WT
EGFR,1570,1321,0,0,WT
EGFR,452,203,0,0,WT
EGFR,561,312,0,0,WT
EGFR,691,442,0,0,WT
EGFR,665,416,0,0,WT
TRIM4,639,390,1.859089,151.112,WT
TRIM4,3383,3134,0,0,WT
TRIM4,3374,3125,1.962316,1278.07,WT
TRIM4,1942,1693,0.275665,97.269,WT
TRIM4,601,352,0.552715,40.549,WT
EZH2,3641,3392,0.065393,46.23,WT
EZH2,2522,2273,0,0,WT
EZH2,2591,2342,0,0,WT
EZH2,2477,2228,0,0,WT
EZH2,2639,2390,0.091128,45.393,WT
EZH2,2572,2323,0.115187,55.769,WT
EZH2,2466,2217,0,0,WT
EZH2,414,165,0.101495,3.49,WT
EZH2,1876,1627,0,0,WT
EZH2,1491,1242,0.054542,14.118,WT
